Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
98,Jonathan Bond\c3a86eea,eng ENG,GK,LA Galaxy,27,1993,31.0,1185,904,281,48,0,80,18,0,0,0,0,0,787,45,353,61,937,0,0,160,991,2,17,11,2,Matches
99,Pablo Bonilla\da23cdc3,ve VEN,DF,Portland Timbers,21,1999,15.1,513,386,127,8,0,49,8,17,0,0,0,0,275,108,130,78,292,16,119,2,378,0,15,32,8,Matches
100,Alex Bono\aa28a396,us USA,GK,Toronto FC,26,1994,24.0,801,520,281,60,0,52,14,1,0,0,0,0,338,19,444,83,547,0,0,113,478,9,27,17,0,Matches
101,Jonathan Bornstein\79a6c95f,us USA,DF,Chicago Fire,36,1984,24.7,1151,1043,108,29,1,159,21,15,0,0,0,0,771,167,213,781,182,71,79,3,937,2,21,45,22,Matches
102,Gustavo Bou\3dfcc735,ar ARG,FW,New England,30,1990,25.8,809,726,83,10,5,176,44,66,30,9,5,2,551,120,138,96,673,17,9,7,565,1,23,49,38,Matches
103,Michael Boxall\6bfa0d3a,nz NZL,DF,Minnesota Utd,32,1988,24.3,884,836,48,44,0,98,11,0,0,0,0,0,682,74,128,85,706,60,4,4,772,0,13,23,14,Matches
104,Michael Bradley\fd5e3a73,us USA,MFDF,Toronto FC,33,1987,29.9,2219,1990,229,170,6,286,50,20,48,18,14,5,1704,191,324,297,1847,57,9,1,1928,8,26,52,16,Matches
105,Zachary Brault-Guillard\948a58c2,ca CAN,DF,CF Montréal,22,1998,22.8,1079,899,180,11,1,151,24,64,0,0,0,0,671,220,188,151,722,28,169,3,852,4,18,35,61,Matches
106,Claudio Bravo\5619c5e8,ar ARG,DF,Portland Timbers,23,1997,22.4,1221,1012,209,17,4,168,31,34,0,0,0,0,698,241,282,857,108,48,192,9,932,8,17,43,38,Matches
107,Brenner\279508bf,br BRA,FW,FC Cincinnati,21,2000,30.9,752,665,87,10,2,195,20,12,0,0,0,0,590,99,63,112,613,19,0,5,622,4,14,30,18,Matches
108,Bressan\3db1684c,br BRA,DF,FC Dallas,28,1993,19.4,1223,1186,37,30,0,120,46,1,0,0,0,0,955,81,187,133,1023,37,7,1,1090,2,7,30,13,Matches
109,Sebastian Breza\52e7f812,ca CAN,GK,CF Montréal,22,1998,8.0,231,152,79,11,0,12,4,0,0,0,0,0,163,11,57,25,161,0,0,40,189,0,5,2,0,Matches
110,Frédéric Brillant\5b14180f,fr FRA,DF,D.C. United,35,1985,14.6,523,488,35,31,0,60,11,0,0,0,0,0,402,51,70,50,428,24,4,1,464,0,13,8,3,Matches
111,Andrew Brody\33e46323,us USA,DF,Real Salt Lake,25,1995,12.0,540,458,82,3,0,72,14,40,1,0,0,0,337,108,95,47,388,21,78,1,412,0,17,15,19,Matches
112,Javain Brown\3d14c62e,jm JAM,DF,Vancouver,21,1999,19.3,974,779,195,14,0,138,26,52,0,0,0,0,564,222,188,68,657,44,181,5,736,2,28,41,30,Matches
113,Will Bruin\87a6ac29,us USA,FW,Seattle,31,1989,14.3,333,324,9,0,0,114,4,14,0,0,0,0,209,82,42,55,209,20,0,10,212,1,3,29,19,Matches
114,Tajon Buchanan\3aca6420,ca CAN,MFFW,New England,21,1999,19.4,615,592,23,2,0,132,10,53,1,0,0,0,448,89,78,60,499,14,20,6,460,2,13,24,29,Matches
115,Adam Buksa\3b676989,pl POL,FW,New England,24,1996,23.1,489,459,30,0,0,173,10,3,0,0,0,0,272,120,97,296,87,32,3,6,352,5,8,18,16,Matches
116,Teal Bunbury\3077fce8,us USA,FWMF,New England,30,1990,12.7,395,382,13,2,1,122,1,16,3,0,0,0,277,73,45,32,311,21,0,10,312,0,9,15,14,Matches
117,Nkosi Burgess\4a07ae31,us USA,DF,FC Dallas,23,1997,20.3,1061,1038,23,17,0,77,50,6,0,0,0,0,799,86,176,124,873,45,5,2,894,2,33,24,7,Matches
118,Cory Burke\39fde61c,jm JAM,FWMF,Philadelphia,29,1991,10.5,213,206,7,0,0,81,8,13,0,0,0,0,101,47,65,28,116,20,1,4,123,1,7,13,13,Matches
119,Evan Bush\69a57596,us USA,GK,Columbus Crew,34,1986,4.0,109,63,46,7,0,12,1,0,0,0,0,0,47,6,56,10,85,0,0,9,80,1,2,2,0,Matches
120,Gianluca Busio\4a0b7f07,us USA,MFFW,Sporting KC,18,2002,12.8,811,717,94,35,1,128,54,20,57,38,3,2,631,54,126,67,717,14,0,2,687,0,17,21,13,Matches
121,Handwalla Bwana\b56080ee,so SOM,FW,Nashville,23,1997,1.1,36,34,2,0,0,7,0,1,1,0,1,0,31,4,1,5,29,0,1,1,25,1,1,2,4,Matches
122,Brandon Bye\9fcd12af,us USA,DF,New England,25,1995,27.5,1487,1217,270,9,0,254,36,112,1,0,0,0,845,320,322,91,1012,71,260,3,1093,5,39,73,63,Matches
123,Kevin Cabral\42af215b,fr FRA,FWMF,LA Galaxy,21,1999,22.1,594,575,19,1,0,129,7,20,2,0,0,0,481,64,49,76,492,11,3,6,458,3,13,38,14,Matches
124,Jhonder Cádiz\e8edfdc9,ve VEN,FW,Nashville,25,1995,7.7,171,163,8,0,1,73,2,10,0,0,0,0,97,33,41,22,98,14,2,8,111,1,5,7,10,Matches
