Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
666,Tanner Tessmann\ac277993,us USA,MF,FC Dallas,19,2001,5.0,225,274,82.1,4745,887,66,78,84.6,124,132,93.9,33,59,55.9,0,0.3,-0.3,4,17,3,0,16,Matches
667,Thiago\6adb0b79,br BRA,FW,NYCFC,20,2000,10.8,184,240,76.7,2639,679,111,136,81.6,54,70,77.1,11,16,68.8,1,1.0,0.0,9,6,7,1,18,Matches
668,Tommy Thompson\5f6c69d8,us USA,DF,San Jose,25,1995,8.3,412,482,85.5,6653,2319,223,243,91.8,155,177,87.6,27,45,60.0,0,1.1,-1.1,10,22,9,2,38,Matches
669,Anton Tinnerholm\0fe96099,se SWE,DF,NYCFC,29,1991,22.3,916,1184,77.4,16236,6610,421,488,86.3,394,475,82.9,92,162,56.8,3,2.9,+0.1,29,61,46,14,124,Matches
670,Donny Toia\d286f965,us USA,DF,Real Salt Lake,28,1992,14.7,510,703,72.5,10017,3981,197,228,86.4,241,304,79.3,67,144,46.5,0,0.3,-0.3,4,33,13,7,53,Matches
671,John Tolkin\5e88c524,us USA,DFMF,NY Red Bulls,18,2002,22.1,897,1175,76.3,17913,6521,377,418,90.2,350,430,81.4,155,282,55.0,1,1.7,-0.7,33,66,27,9,95,Matches
672,Nouhou Tolo\0796512f,cm CMR,DF,Seattle,23,1997,16.2,601,711,84.5,11515,3805,225,248,90.7,307,342,89.8,66,102,64.7,0,0.1,-0.1,1,44,7,1,29,Matches
673,Erick Torres\b7f98460,mx MEX,FW,Atlanta Utd,28,1993,7.0,119,157,75.8,1945,210,62,77,80.5,35,45,77.8,15,19,78.9,0,0.4,-0.4,5,3,2,0,8,Matches
674,Joaquín Torres\c82dcb70,ar ARG,FWMF,CF Montréal,24,1997,21.0,583,767,76.0,9775,2349,276,339,81.4,245,302,81.1,45,89,50.6,5,3.2,+1.8,26,47,36,5,70,Matches
675,Dantouma Toure\b5d2014f,gn GUI,FW,Colorado Rapids,16,2004,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
676,Mason Toye\0aa41f67,us USA,FW,CF Montréal,22,1998,9.9,119,167,71.3,2248,393,63,83,75.9,36,48,75.0,17,18,94.4,0,1.2,-1.2,5,10,4,1,12,Matches
677,Wil Trapp\9bf9391c,us USA,MF,Minnesota Utd,28,1993,30.3,1487,1694,87.8,29670,9253,554,617,89.8,670,728,92.0,236,301,78.4,1,1.7,-0.7,23,219,14,2,174,Matches
678,Auston Trusty\cddf767b,us USA,DF,Colorado Rapids,22,1998,33.0,1422,1619,87.8,29619,10172,437,472,92.6,761,818,93.0,210,294,71.4,0,0.9,-0.9,14,142,11,3,110,Matches
679,Bill Tuiloma\bf547c54,nz NZL,DF,Portland Timbers,25,1995,20.1,682,822,83.0,15305,6102,194,219,88.6,329,356,92.4,149,231,64.5,1,0.3,+0.7,5,59,5,0,47,Matches
680,Cole Turner\30ec7b37,us USA,DF,Philadelphia,19,2001,0.1,4,6,66.7,73,24,2,3,66.7,2,2,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
681,Matt Turner\4a51ba65,us USA,GK,New England,26,1994,28.0,571,790,72.3,19267,12880,90,92,97.8,218,219,99.5,263,479,54.9,0,0.0,0.0,0,9,0,0,0,Matches
682,Ema Twumasi\9ca4b140,gh GHA,DF,FC Dallas,23,1997,18.9,825,977,84.4,14024,3862,411,444,92.6,331,373,88.7,68,123,55.3,0,0.9,-0.9,12,44,16,4,59,Matches
